IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_TAGS;IP_PROP17;IP_PROP18;IP_PROP19;IP_PROP16;IC_GROUP0;IC_GROUP1;IC_GROUP2
395;Дружковка;550403;Y;;;;;text;;;text;;;Восточная Украина;48.6167;37.5333;Донецкая область;;;
396;Енакиево;550404;Y;;;;;text;;;text;;;Восточная Украина;48.2167;38.2000;Донецкая область;;;
399;Константиновка;550405;Y;;;;;text;;;text;;;Восточная Украина;48.5175;37.6950;Донецкая область;;;
400;Краматорск;550406;Y;;;;;text;;;text;;;Восточная Украина;48.7448;37.5955;Донецкая область;;;
401;Красноармейск;550407;Y;;;;;text;;;text;;;Восточная Украина;48.2810;37.1734;Донецкая область;;;
403;Макеевка;550408;Y;;;;;text;;;text;;;Восточная Украина;48.0531;37.9475;Донецкая область;;;
404;Мариуполь;550409;Y;;;;;text;;;text;;;Восточная Украина;47.1167;37.5500;Донецкая область;;;
405;Новогродовка;550410;Y;;;;;text;;;text;;;Восточная Украина;48.2045;37.3368;Донецкая область;;;
406;Селидово;550411;Y;;;;;text;;;text;;;Восточная Украина;48.1447;37.2979;Донецкая область;;;
407;Славянск;550412;Y;;;;;text;;;text;;;Восточная Украина;48.8396;37.5692;Донецкая область;;;
408;Снежное;550413;Y;;;;;text;;;text;;;Восточная Украина;48.0283;38.7656;Донецкая область;;;
409;Торез;550414;Y;;;;;text;;;text;;;Восточная Украина;48.0311;38.6243;Донецкая область;;;
410;Угледар;550415;Y;;;;;text;;;text;;;Восточная Украина;47.7833;37.2500;Донецкая область;;;
411;Харцызск;550416;Y;;;;;text;;;text;;;Восточная Украина;48.0423;38.1461;Донецкая область;;;
413;Ясиноватая;550417;Y;;;;;text;;;text;;;Восточная Украина;48.1273;37.8536;Донецкая область;;;
414;Запорожье;550418;Y;;;;;text;;;text;;;Восточная Украина;47.8333;35.1667;Запорожская область;;;
415;Мелитополь;550419;Y;;;;;text;;;text;;;Восточная Украина;46.8333;35.3667;Запорожская область;;;
416;Бердянск;550420;Y;;;;;text;;;text;;;Восточная Украина;46.7584;36.8081;Запорожская область;;;
417;Энергодар;550421;Y;;;;;text;;;text;;;Восточная Украина;47.4980;34.6565;Запорожская область;;;
418;Токмак;550422;Y;;;;;text;;;text;;;Восточная Украина;47.2500;35.7000;Запорожская область;;;
423;Гуляйполе;550423;Y;;;;;text;;;text;;;Восточная Украина;47.6632;36.2612;Запорожская область;;;
427;Приморск;550424;Y;;;;;text;;;text;;;Восточная Украина;46.7299;36.3665;Запорожская область;;;
429;Николаев;550425;Y;;;;;text;;;text;;;Восточная Украина;46.9667;32.0000;Николаевская область;;;
430;Первомайск;550426;Y;;;;;text;;;text;;;Восточная Украина;48.0436;30.8592;Николаевская область;;;
431;Вознесенск;550427;Y;;;;;text;;;text;;;Восточная Украина;47.5669;31.3264;Николаевская область;;;
432;Южноукраинск;550428;Y;;;;;text;;;text;;;Восточная Украина;47.8167;31.1833;Николаевская область;;;
433;Новый Буг;550429;Y;;;;;text;;;text;;;Восточная Украина;47.6833;32.5000;Николаевская область;;;
437;Баштанка;550430;Y;;;;;text;;;text;;;Восточная Украина;47.4000;32.4500;Николаевская область;;;
440;Арбузинка;550431;Y;;;;;text;;;text;;;Восточная Украина;47.9067;31.3131;Николаевская область;;;
442;Херсон;550432;Y;;;;;text;;;text;;;Восточная Украина;46.6333;32.5833;Херсонская область;;;
443;Новая Каховка;550433;Y;;;;;text;;;text;;;Восточная Украина;46.7667;33.3667;Херсонская область;;;
444;Каховка;550434;Y;;;;;text;;;text;;;Восточная Украина;46.8098;33.4831;Херсонская область;;;
445;Цюрупинск;550435;Y;;;;;text;;;text;;;Восточная Украина;46.6213;32.6979;Херсонская область;;;
446;Геническ;550436;Y;;;;;text;;;text;;;Восточная Украина;46.1667;34.8000;Херсонская область;;;
447;Скадовск;550437;Y;;;;;text;;;text;;;Восточная Украина;46.1167;32.9167;Херсонская область;;;
